algo;size;random;order;rng;time
quick;1000;1.0;t;t;0.00321
selection;100000;0.0;f;t;7.8958699999999995
heap;100;0.95;t;f;0.00213
cartesiantree;100;0.8;t;f;0.00195
heap;100;0.0;f;t;0.00204
merge;1000000;1.0;t;f;0.12386
heap;100000;0.0;f;t;0.0085
merge;10;1.0;t;t;0.00239
bubble;1000;1.0;f;f;0.00628
selection;1000;1.0;f;t;0.0030600000000000002
bubble;1000;0.8;f;t;0.006
bubble;1000000;0.95;t;f;883.2514100000001
bubble;10;1.0;f;t;0.00225
insertion;100000;0.8;t;f;1.7763
heap;10000;1.0;f;f;0.00302
merge;10;0.0;t;f;0.00212
bubble;100;1.0;t;t;0.00207
cartesiantree;100000;0.8;f;f;0.03426
selection;100;0.0;f;t;0.00211
insertion;100;0.0;f;f;0.00216
merge;100000;1.0;f;t;0.01642
insertion;1000;0.95;t;f;0.00217
insertion;10000;1.0;f;t;0.07195
insertion;100;0.8;f;t;0.00235
insertion;10;0.0;f;f;0.00214
merge;1000;0.0;t;t;0.00209
heap;1000000;0.8;f;t;0.07853
heap;1000000;0.0;t;f;0.21816
quick;10;0.95;t;f;0.00213
bubble;100;0.8;t;f;0.00207
quick;1000;0.0;t;f;0.00212
quick;1000;0.8;f;f;0.00219
quick;10;1.0;t;t;0.00206
heap;10;0.8;t;t;0.0019399999999999999
bubble;1000;0.95;t;f;0.00325
insertion;10000;0.0;f;t;0.04843
merge;10000;0.8;t;t;0.0035600000000000002
merge;1000000;0.0;t;t;0.20967
selection;100;0.8;f;t;0.00202
quick;100000;1.0;t;f;12.69866
cartesiantree;100;0.8;f;f;0.00216
merge;10000;1.0;f;t;0.0030499999999999998
heap;100;1.0;f;t;0.0022
heap;100;1.0;f;f;0.00254
quick;1000;0.8;t;f;0.00227
cartesiantree;10;0.0;f;f;0.00199
bubble;10000;0.95;t;f;0.12193000000000001
heap;10000;0.0;t;t;0.00342
cartesiantree;1000000;0.8;t;f;0.43139999999999995
selection;10000;0.8;t;t;0.09348000000000001
heap;10000;1.0;f;t;0.0025800000000000003
quick;10000;1.0;t;t;0.14435
insertion;10;1.0;f;t;0.0022
bubble;1000;1.0;t;f;0.0023
cartesiantree;100;1.0;t;t;0.00202
merge;1000;0.8;t;t;0.00239
heap;1000;0.0;f;t;0.00315
cartesiantree;1000000;0.0;t;t;0.72975
quick;10;0.0;t;t;0.0032400000000000003
bubble;10;0.0;t;t;0.00213
selection;100000;1.0;f;t;7.957949999999999
selection;100;0.8;f;f;0.00277
insertion;10;0.0;f;t;0.00217
quick;1000000;1.0;f;t;1158.8893500000001
bubble;1000;0.0;t;f;0.00553
merge;1000000;0.8;f;t;0.18605000000000002
bubble;1000000;0.0;f;t;3840.94833
bubble;10;0.8;f;t;0.00199
quick;100000;1.0;f;f;13.60031
merge;1000000;0.8;f;f;0.2047
quick;100;0.0;f;f;0.00222
bubble;1000;1.0;f;t;0.006
quick;10;0.0;f;f;0.00199
quick;100000;0.8;f;f;0.016980000000000002
merge;1000;0.0;t;f;0.00215
heap;10;0.0;f;t;0.0022299999999999998
selection;1000000;0.0;t;t;1007.7214799999999
quick;10000;0.8;f;t;0.0034100000000000003
quick;10;0.0;t;f;0.00189
heap;100000;0.95;t;f;0.01884
cartesiantree;10000;1.0;f;f;0.00285
quick;10000;0.0;t;t;0.0033599999999999997
selection;10;1.0;f;f;0.00183
insertion;1000000;0.95;t;f;30.992549999999998
insertion;1000;0.0;t;f;0.00278
heap;100000;1.0;t;f;0.01587
bubble;1000000;1.0;t;t;0.0484
cartesiantree;1000000;0.95;t;f;0.31668
heap;1000;0.8;t;t;0.00289
heap;100000;1.0;f;f;0.015390000000000001
heap;10000;0.8;t;t;0.0023
bubble;1000000;0.0;t;f;4410.164049999999
quick;100;1.0;f;f;0.00214
insertion;100000;1.0;f;f;8.90926
bubble;100000;0.8;f;f;47.62099
selection;1000000;0.0;f;f;1001.4902
merge;100;1.0;f;t;0.00195
insertion;1000000;0.8;f;f;952.3514200000001
insertion;100;0.95;t;f;0.0023599999999999997
insertion;10;0.8;f;t;0.0018
quick;1000000;0.8;f;f;0.15411000000000002
quick;100;0.95;t;f;0.0021000000000000003
